customer_id,first_name,last_name,email,phone,address
f11059a4-6b8a-456c-9501-da73e641885b,Carol,Jensen,edwardcochran@example.com,(842)210-5574x099,"113 Sosa Walk Apt. 208, Dwayneborough, NY 67101"
b258d72e-198f-4d36-a528-be233ee06e26,Amanda,Lopez,jonesjanet@example.com,(392)398-4926,"007 Shannon Junction, Raytown, AZ 17186"
0221978f-b3ae-4045-a6eb-c79ed4918d5c,Benjamin,Moore,xgibson@example.org,+1-717-717-5820x62692,"6689 Christy Valleys Apt. 298, Jonesport, AR 67733"
075ebf3a-251f-4413-aced-ecc2b05751c0,Adam,Heath,mooreeric@example.com,282-953-0271x2712,"1870 Woodard Pine Apt. 690, Melissachester, MD 21369"
e9684643-d122-450d-83b7-d91e980bad5b,Erin,Jackson,kdillon@example.com,(760)959-2305,"6708 James Knoll Suite 037, Scottburgh, AR 07467"
78504b37-26f0-4e12-b337-6920cf6fac7c,Joseph,Reyes,henrychristopher@example.com,630-755-1250x904,"3148 Christopher Gateway Suite 253, Jamesburgh, WV 43674"
429b9b8f-297f-4922-90a0-491a52203214,Stephanie,Pratt,mwilson@example.org,001-737-299-0084,"68351 Hoffman Fields Apt. 492, South Stephanie, NM 35679"
9bd78c68-39d5-44f8-ae87-f38f7d57dbb5,Carolyn,Smith,ctaylor@example.com,001-801-228-9500,"534 Harris Ferry Suite 050, Port Matthew, MH 25395"
5569a807-ec4c-4486-a559-8e17e0ad1bbb,Danielle,Sanders,pbauer@example.org,898.444.7587x5944,"218 Case Oval Suite 048, Lake Jennifer, NM 34771"
8b544d10-946d-4b3a-ad06-d31f1aa4ff4e,William,Boyer,mccormicklynn@example.com,+1-942-979-7674x35079,"016 Delacruz Walks Apt. 574, Edwardsfort, MO 64071"
57f7f8b0-1b90-4840-9d9a-30b393dfd350,Ricardo,Smith,paul69@example.com,001-867-826-4948,"Unit 7187 Box 7477, DPO AE 71586"
77d5c513-8ce6-4eb1-8229-634d55f1b441,Jennifer,Short,wparks@example.com,+1-931-745-6219x9182,"18131 Jennifer Fork Suite 400, Bernardborough, FM 31116"
ec3e128f-b62d-4ad5-9d7d-89801eb5db20,Kevin,Haas,nmarsh@example.com,001-727-708-1148x3146,"778 Thompson Passage Apt. 735, Sharpmouth, NY 36006"
e12aa8d4-f498-4e58-b459-4f4bcf74935a,Paul,Lopez,morenoryan@example.net,833-608-4244x64181,"PSC 0298, Box 5140, APO AP 04505"
d2181df2-a133-4dee-8c34-7222cfb07317,Daniel,Cooper,grahamsean@example.com,(438)231-6286x319,"093 Michael Stream Apt. 922, Grahamchester, GU 44374"
04c0d6a9-571f-4876-bb53-0ffbc09e9b01,Anthony,Fields,joshuamorris@example.com,441-675-2901x52872,"4395 Sandoval Fort, North Timothy, MP 37633"
f2fbb51a-f62c-4ab2-9ded-84b2a1e5179c,Daniel,Santos,dennisbeck@example.net,001-382-768-6994x971,"Unit 6170 Box 3222, DPO AP 71509"
8a5e46dd-be3e-4854-b4d8-938923f522aa,Jill,Martinez,theresa92@example.net,319-652-3539x96408,"9110 Small Fork Apt. 822, North Donna, FL 34538"
09360a62-7231-4325-bf3b-1ec960d5fe9f,Marcia,Mclaughlin,jburnett@example.net,998.982.3648x252,"6842 Buck Skyway, East Courtney, WI 28871"
fb745a59-0efe-42a1-8d40-62cafc860a22,Steven,Ryan,davidfigueroa@example.net,+1-301-273-5558,"3598 Amy Meadows, South Bethfort, DC 22682"
8851ef19-7c69-481d-98c5-635acb00b65c,Andrea,Rangel,christian09@example.org,2694607205,"3627 Ryan Expressway, West Curtismouth, DE 88962"
c7531f33-4374-4227-a1e3-48d1656d516e,Elizabeth,Schmitt,courtney53@example.org,657-594-0367x56470,"51921 Bass Oval, Port Alexis, MD 51032"
c383ded6-ec7a-4698-9725-c04f4d7dbb21,Donna,Humphrey,banksedwin@example.org,401.728.1496x571,"03003 David Trafficway, Wrightton, WA 45171"
e2604d5e-5d1f-4300-a3d8-8ad1d2c58496,Mary,Mueller,kimberlynorman@example.net,(665)232-2870x275,"67088 Melinda Crossing Suite 285, Tammybury, NC 31859"
4e5e15e7-747c-4761-9f1e-0b97731538e5,Carol,Luna,maria56@example.net,711.466.3327x3374,"8822 Richards Key Suite 766, Marychester, KY 00552"
7aa6b098-93b4-4c3d-8e66-d2b36efd4a43,David,Davis,jessica81@example.net,+1-327-795-0096x814,"17772 Christina Road Suite 800, Flemingbury, DE 00953"
86d8e770-2fbb-4ccb-97b9-5df385b68dc6,Amy,Goodwin,gordondavid@example.org,8177578906,"PSC 6648, Box 9344, APO AE 61866"
1cd6974b-532e-4900-a3f4-071a3c5c30d9,Makayla,Spears,chad74@example.com,882.554.1197,"5737 Ronald Springs, New David, CO 32989"
6d5eb8a9-d8f9-499f-bcc0-4bcb6bd8108d,Lawrence,Wells,davisrodney@example.org,(924)549-7885x94812,"848 Lawson Ford Suite 260, Perezshire, ND 58942"
5db12919-2e8a-4f25-ae03-3421dcc24494,Monica,Thompson,annavila@example.org,(589)958-4641x17609,"88615 Powell Underpass, Hansenport, SC 50062"
0f7c7af9-2515-4df0-a920-5d080bc882ad,Steven,Reid,sandra90@example.com,(614)890-6174x1765,"4140 Burton Plain, West Rickeymouth, AL 58327"
